GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US360290001101,360290001101,"Block Group 1, Census Tract 1.10, Erie County, New York",446,155,432,156,0,11,5,8,0,11,0,11,0,11,9,13,9,13,0,11
1500000US360290001102,360290001102,"Block Group 2, Census Tract 1.10, Erie County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360290001103,360290001103,"Block Group 3, Census Tract 1.10, Erie County, New York",1091,350,472,133,167,159,0,11,8,14,0,11,329,276,115,96,67,86,48,49
1500000US360290001104,360290001104,"Block Group 4, Census Tract 1.10, Erie County, New York",1317,248,1121,219,0,11,0,11,15,21,0,11,79,63,102,83,71,61,31,37
1500000US360290002001,360290002001,"Block Group 1, Census Tract 2, Erie County, New York",1358,435,1087,408,11,17,0,11,0,11,0,11,49,72,211,169,88,143,123,94
1500000US360290002002,360290002002,"Block Group 2, Census Tract 2, Erie County, New York",664,184,498,170,20,30,0,11,108,121,0,11,0,11,38,65,0,11,38,65
1500000US360290002003,360290002003,"Block Group 3, Census Tract 2, Erie County, New York",1151,247,1076,232,33,53,0,11,1,3,0,11,0,11,41,54,10,17,31,52
1500000US360290002004,360290002004,"Block Group 4, Census Tract 2, Erie County, New York",977,206,688,204,18,20,0,11,19,26,36,40,163,153,53,46,24,33,29,32
1500000US360290005001,360290005001,"Block Group 1, Census Tract 5, Erie County, New York",870,205,766,198,0,11,6,10,0,11,0,11,77,68,21,19,8,9,13,13
1500000US360290005002,360290005002,"Block Group 2, Census Tract 5, Erie County, New York",1206,336,1012,298,22,24,0,11,0,11,0,11,20,31,152,150,91,139,61,62
1500000US360290006001,360290006001,"Block Group 1, Census Tract 6, Erie County, New York",1639,356,1583,345,0,11,0,11,0,11,0,11,0,11,56,64,0,11,56,64
1500000US360290006002,360290006002,"Block Group 2, Census Tract 6, Erie County, New York",1023,370,1022,370,1,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360290006003,360290006003,"Block Group 3, Census Tract 6, Erie County, New York",1079,243,769,286,240,246,0,11,0,11,0,11,70,121,0,11,0,11,0,11
1500000US360290006004,360290006004,"Block Group 4, Census Tract 6, Erie County, New York",769,363,548,176,219,340,0,11,0,11,0,11,0,11,2,3,0,11,2,3
1500000US360290007001,360290007001,"Block Group 1, Census Tract 7, Erie County, New York",637,227,637,227,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360290007002,360290007002,"Block Group 2, Census Tract 7, Erie County, New York",717,170,678,168,0,11,0,11,27,41,0,11,0,11,12,18,12,18,0,11
1500000US360290007003,360290007003,"Block Group 3, Census Tract 7, Erie County, New York",722,226,681,221,7,14,0,11,34,37,0,11,0,11,0,11,0,11,0,11
1500000US360290007004,360290007004,"Block Group 4, Census Tract 7, Erie County, New York",1036,188,1021,187,12,15,0,11,0,11,0,11,3,6,0,11,0,11,0,11
1500000US360290007005,360290007005,"Block Group 5, Census Tract 7, Erie County, New York",660,190,649,192,3,4,0,11,0,11,0,11,8,13,0,11,0,11,0,11
1500000US360290008001,360290008001,"Block Group 1, Census Tract 8, Erie County, New York",783,177,776,176,0,11,7,13,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360290008002,360290008002,"Block Group 2, Census Tract 8, Erie County, New York",1547,308,1443,321,72,86,0,11,0,11,0,11,25,38,7,12,7,12,0,11
1500000US360290008003,360290008003,"Block Group 3, Census Tract 8, Erie County, New York",1819,384,1690,348,19,31,41,61,0,11,0,11,58,91,11,17,0,11,11,17
1500000US360290008004,360290008004,"Block Group 4, Census Tract 8, Erie County, New York",580,166,573,166,0,11,0,11,0,11,0,11,7,12,0,11,0,11,0,11
1500000US360290009001,360290009001,"Block Group 1, Census Tract 9, Erie County, New York",402,115,372,105,0,11,0,11,0,11,0,11,30,46,0,11,0,11,0,11
1500000US360290009002,360290009002,"Block Group 2, Census Tract 9, Erie County, New York",983,243,886,221,38,59,0,11,0,11,0,11,0,11,59,95,59,95,0,11
1500000US360290009003,360290009003,"Block Group 3, Census Tract 9, Erie County, New York",1026,179,949,199,31,38,0,11,0,11,0,11,46,46,0,11,0,11,0,11
1500000US360290010001,360290010001,"Block Group 1, Census Tract 10, Erie County, New York",1222,359,1046,340,142,123,0,11,0,11,0,11,0,11,34,34,0,11,34,34
1500000US360290010002,360290010002,"Block Group 2, Census Tract 10, Erie County, New York",673,280,673,280,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360290010003,360290010003,"Block Group 3, Census Tract 10, Erie County, New York",1108,374,1051,360,9,11,0,11,0,11,0,11,0,11,48,94,0,11,48,94
1500000US360290010004,360290010004,"Block Group 4, Census Tract 10, Erie County, New York",591,260,523,232,68,107,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360290010005,360290010005,"Block Group 5, Census Tract 10, Erie County, New York",1566,349,1415,327,131,187,0,11,0,11,0,11,0,11,20,32,0,11,20,32
1500000US360290011001,360290011001,"Block Group 1, Census Tract 11, Erie County, New York",1185,152,1130,151,30,48,10,16,0,11,0,11,15,23,0,11,0,11,0,11
1500000US360290011002,360290011002,"Block Group 2, Census Tract 11, Erie County, New York",610,151,551,157,0,11,0,11,17,26,0,11,30,54,12,18,0,11,12,18
1500000US360290011003,360290011003,"Block Group 3, Census Tract 11, Erie County, New York",1066,253,850,209,126,100,0,11,51,67,0,11,39,64,0,11,0,11,0,11
1500000US360290014021,360290014021,"Block Group 1, Census Tract 14.02, Erie County, New York",751,173,0,11,730,172,0,11,0,11,0,11,0,11,21,31,0,11,21,31
1500000US360290014022,360290014022,"Block Group 2, Census Tract 14.02, Erie County, New York",340,166,0,11,340,166,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360290014023,360290014023,"Block Group 3, Census Tract 14.02, Erie County, New York",1131,285,51,43,1033,286,3,7,0,11,0,11,0,11,44,47,0,11,44,47
1500000US360290014024,360290014024,"Block Group 4, Census Tract 14.02, Erie County, New York",648,253,108,111,451,241,0,11,0,11,0,11,30,55,59,52,29,47,30,29
1500000US360290015001,360290015001,"Block Group 1, Census Tract 15, Erie County, New York",431,153,36,24,375,152,5,8,0,11,0,11,0,11,15,36,0,11,15,36
1500000US360290015002,360290015002,"Block Group 2, Census Tract 15, Erie County, New York",1091,200,89,70,983,203,0,11,0,11,0,11,1,2,18,28,0,11,18,28
1500000US360290016001,360290016001,"Block Group 1, Census Tract 16, Erie County, New York",458,153,130,95,294,114,0,11,0,11,0,11,34,54,0,11,0,11,0,11
1500000US360290016002,360290016002,"Block Group 2, Census Tract 16, Erie County, New York",722,228,148,77,440,203,5,9,0,11,0,11,61,72,68,75,0,11,68,75
1500000US360290016003,360290016003,"Block Group 3, Census Tract 16, Erie County, New York",199,150,37,59,140,132,0,11,0,11,0,11,22,32,0,11,0,11,0,11
1500000US360290016004,360290016004,"Block Group 4, Census Tract 16, Erie County, New York",624,202,153,80,359,154,0,11,112,158,0,11,0,11,0,11,0,11,0,11
1500000US360290017001,360290017001,"Block Group 1, Census Tract 17, Erie County, New York",997,162,667,181,219,97,0,11,28,36,0,11,50,45,33,40,0,11,33,40
1500000US360290017002,360290017002,"Block Group 2, Census Tract 17, Erie County, New York",668,246,358,128,251,227,0,11,0,11,0,11,3,15,56,58,0,11,56,58
1500000US360290019001,360290019001,"Block Group 1, Census Tract 19, Erie County, New York",1221,262,1119,234,74,109,16,28,0,11,0,11,0,11,12,18,0,11,12,18
1500000US360290019002,360290019002,"Block Group 2, Census Tract 19, Erie County, New York",1211,278,1193,276,0,11,0,11,0,11,0,11,18,29,0,11,0,11,0,11
1500000US360290019003,360290019003,"Block Group 3, Census Tract 19, Erie County, New York",544,286,320,117,166,205,58,72,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360290023001,360290023001,"Block Group 1, Census Tract 23, Erie County, New York",661,234,594,223,51,64,0,11,16,24,0,11,0,11,0,11,0,11,0,11
1500000US360290023002,360290023002,"Block Group 2, Census Tract 23, Erie County, New York",918,345,683,289,235,155,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360290023003,360290023003,"Block Group 3, Census Tract 23, Erie County, New York",920,408,920,408,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360290023004,360290023004,"Block Group 4, Census Tract 23, Erie County, New York",878,249,663,212,168,123,0,11,0,11,0,11,38,37,9,13,0,11,9,13
1500000US360290024001,360290024001,"Block Group 1, Census Tract 24, Erie County, New York",409,164,173,121,236,141,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360290024002,360290024002,"Block Group 2, Census Tract 24, Erie County, New York",372,213,108,66,264,214,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360290024003,360290024003,"Block Group 3, Census Tract 24, Erie County, New York",1064,297,986,290,0,11,0,11,13,22,0,11,0,11,65,79,0,11,65,79
1500000US360290024004,360290024004,"Block Group 4, Census Tract 24, Erie County, New York",1174,352,864,240,93,177,0,11,0,11,0,11,94,114,123,182,0,11,123,182
1500000US360290024005,360290024005,"Block Group 5, Census Tract 24, Erie County, New York",859,406,587,184,159,180,0,11,0,11,0,11,0,11,113,105,0,11,113,105
1500000US360290024006,360290024006,"Block Group 6, Census Tract 24, Erie County, New York",551,150,524,145,0,11,0,11,6,11,0,11,7,12,14,16,0,11,14,16
1500000US360290025021,360290025021,"Block Group 1, Census Tract 25.02, Erie County, New York",974,199,159,103,683,197,0,11,13,20,0,11,92,68,27,23,0,11,27,23
1500000US360290025022,360290025022,"Block Group 2, Census Tract 25.02, Erie County, New York",1045,157,38,39,965,150,1,3,0,11,0,11,0,11,41,58,0,11,41,58
1500000US360290027021,360290027021,"Block Group 1, Census Tract 27.02, Erie County, New York",731,292,187,192,260,161,0,11,252,191,0,11,0,11,32,36,0,11,32,36
1500000US360290027022,360290027022,"Block Group 2, Census Tract 27.02, Erie County, New York",286,133,23,28,160,95,0,11,89,101,0,11,0,11,14,21,0,11,14,21
1500000US360290027023,360290027023,"Block Group 3, Census Tract 27.02, Erie County, New York",1049,413,42,39,223,223,0,11,727,360,0,11,57,59,0,11,0,11,0,11
1500000US360290027024,360290027024,"Block Group 4, Census Tract 27.02, Erie County, New York",534,210,165,115,185,75,6,9,127,118,0,11,0,11,51,80,0,11,51,80
1500000US360290028001,360290028001,"Block Group 1, Census Tract 28, Erie County, New York",309,110,78,40,231,110,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360290028002,360290028002,"Block Group 2, Census Tract 28, Erie County, New York",517,190,247,162,256,125,0,11,0,11,0,11,0,11,14,17,0,11,14,17
1500000US360290028003,360290028003,"Block Group 3, Census Tract 28, Erie County, New York",383,180,102,59,156,120,0,11,88,139,0,11,31,52,6,10,0,11,6,10
1500000US360290028004,360290028004,"Block Group 4, Census Tract 28, Erie County, New York",886,266,156,54,666,258,0,11,0,11,0,11,12,18,52,47,0,11,52,47
1500000US360290029001,360290029001,"Block Group 1, Census Tract 29, Erie County, New York",432,225,58,53,346,190,0,11,0,11,0,11,18,28,10,11,0,11,10,11
