GEO.id,GEO.id2,HD01_VD01,HD01_VD02,WhiteRatio
Id,Id2,Estimate; Total:,Estimate; Total: - White alone,
1500000US360290001101,360290001101,542,526,0.970479705
1500000US360290001102,360290001102,0,0,#DIV/0!
1500000US360290001103,360290001103,1108,490,0.442238267
1500000US360290001104,360290001104,1204,1030,0.855481728
1500000US360290002001,360290002001,1131,1011,0.893899204
1500000US360290002002,360290002002,714,478,0.669467787
1500000US360290002003,360290002003,1189,1105,0.929352397
1500000US360290002004,360290002004,1118,922,0.824686941
1500000US360290005001,360290005001,882,809,0.91723356
1500000US360290005002,360290005002,1096,951,0.86770073
1500000US360290006001,360290006001,1608,1504,0.935323383
1500000US360290006002,360290006002,1248,1248,1
1500000US360290006003,360290006003,1314,1015,0.772450533
1500000US360290006004,360290006004,624,381,0.610576923
1500000US360290007001,360290007001,546,546,1
1500000US360290007002,360290007002,663,652,0.983408748
1500000US360290007003,360290007003,646,596,0.922600619
1500000US360290007004,360290007004,1083,1073,0.99076639
1500000US360290007005,360290007005,863,822,0.952491309
1500000US360290008001,360290008001,763,748,0.98034076
1500000US360290008002,360290008002,1512,1270,0.83994709
1500000US360290008003,360290008003,1967,1832,0.931367565
1500000US360290008004,360290008004,495,487,0.983838384
1500000US360290009001,360290009001,432,432,1
1500000US360290009002,360290009002,1050,947,0.901904762
1500000US360290009003,360290009003,1018,942,0.925343811
1500000US360290010001,360290010001,889,749,0.842519685
1500000US360290010002,360290010002,618,618,1
1500000US360290010003,360290010003,908,778,0.856828194
1500000US360290010004,360290010004,694,622,0.896253602
1500000US360290010005,360290010005,1824,1649,0.904057018
1500000US360290011001,360290011001,1219,1134,0.930270714
1500000US360290011002,360290011002,669,617,0.922272048
1500000US360290011003,360290011003,1137,970,0.853122252
1500000US360290014021,360290014021,761,0,0
1500000US360290014022,360290014022,526,0,0
1500000US360290014023,360290014023,1090,56,0.051376147
1500000US360290014024,360290014024,893,93,0.104143337
1500000US360290015001,360290015001,482,74,0.153526971
1500000US360290015002,360290015002,1043,80,0.076701822
1500000US360290016001,360290016001,468,149,0.318376068
1500000US360290016002,360290016002,714,134,0.18767507
1500000US360290016003,360290016003,322,55,0.170807453
1500000US360290016004,360290016004,548,120,0.218978102
1500000US360290017001,360290017001,1130,736,0.651327434
1500000US360290017002,360290017002,724,416,0.574585635
1500000US360290019001,360290019001,1212,1080,0.891089109
1500000US360290019002,360290019002,1377,1356,0.984749455
1500000US360290019003,360290019003,682,320,0.469208211
1500000US360290023001,360290023001,585,511,0.873504274
1500000US360290023002,360290023002,781,588,0.752880922
1500000US360290023003,360290023003,937,937,1
1500000US360290023004,360290023004,927,630,0.67961165
1500000US360290024001,360290024001,502,222,0.442231076
1500000US360290024002,360290024002,311,90,0.289389068
1500000US360290024003,360290024003,956,884,0.924686192
1500000US360290024004,360290024004,1161,802,0.690783807
1500000US360290024005,360290024005,836,566,0.677033493
1500000US360290024006,360290024006,600,570,0.95
1500000US360290025021,360290025021,1085,150,0.138248848
1500000US360290025022,360290025022,914,3,0.003282276
1500000US360290027021,360290027021,679,112,0.164948454
1500000US360290027022,360290027022,241,30,0.124481328
1500000US360290027023,360290027023,1455,354,0.243298969
1500000US360290027024,360290027024,699,164,0.234620887
1500000US360290028001,360290028001,320,64,0.2
1500000US360290028002,360290028002,487,271,0.556468172
1500000US360290028003,360290028003,409,127,0.310513447
1500000US360290028004,360290028004,1042,190,0.182341651
1500000US360290029001,360290029001,274,65,0.237226277
1500000US360290029002,360290029002,621,205,0.330112721
1500000US360290029003,360290029003,364,27,0.074175824
1500000US360290029004,360290029004,785,378,0.481528662
1500000US360290030001,360290030001,671,90,0.134128167
1500000US360290030002,360290030002,1117,208,0.186213071
1500000US360290030003,360290030003,688,58,0.084302326
1500000US360290031001,360290031001,238,42,0.176470588
1500000US360290031002,360290031002,437,9,0.020594966
1500000US360290031003,360290031003,665,10,0.015037594
1500000US360290031004,360290031004,388,68,0.175257732
1500000US360290033011,360290033011,841,187,0.22235434
1500000US360290033012,360290033012,706,0,0
1500000US360290033013,360290033013,1396,30,0.021489971
1500000US360290033014,360290033014,870,11,0.012643678
1500000US360290033021,360290033021,487,14,0.028747433
1500000US360290033022,360290033022,1311,230,0.175438596
1500000US360290033023,360290033023,739,12,0.01623816
1500000US360290033024,360290033024,785,0,0
1500000US360290034001,360290034001,654,0,0
1500000US360290034002,360290034002,502,0,0
1500000US360290034003,360290034003,380,40,0.105263158
1500000US360290034004,360290034004,308,0,0
1500000US360290034005,360290034005,364,6,0.016483516
1500000US360290035001,360290035001,310,70,0.225806452
1500000US360290035002,360290035002,624,9,0.014423077
1500000US360290035003,360290035003,1068,10,0.009363296
1500000US360290035004,360290035004,741,11,0.014844804
1500000US360290036001,360290036001,874,110,0.125858124
1500000US360290036002,360290036002,477,14,0.029350105
1500000US360290036003,360290036003,706,146,0.206798867
1500000US360290036004,360290036004,519,89,0.171483622
1500000US360290037001,360290037001,1056,103,0.097537879
1500000US360290037002,360290037002,1102,97,0.088021779
1500000US360290037003,360290037003,289,64,0.221453287
1500000US360290037004,360290037004,962,48,0.04989605
1500000US360290037005,360290037005,660,60,0.090909091
1500000US360290038001,360290038001,1289,140,0.108611327
1500000US360290038002,360290038002,799,63,0.078848561
1500000US360290038003,360290038003,1163,109,0.09372313
1500000US360290039011,360290039011,947,25,0.026399155
1500000US360290040011,360290040011,1008,0,0
1500000US360290040012,360290040012,668,57,0.085329341
1500000US360290040013,360290040013,1079,10,0.009267841
1500000US360290040014,360290040014,800,101,0.12625
1500000US360290040015,360290040015,670,462,0.689552239
1500000US360290041001,360290041001,1360,30,0.022058824
1500000US360290041002,360290041002,904,93,0.102876106
1500000US360290041003,360290041003,954,75,0.078616352
1500000US360290041004,360290041004,1268,181,0.142744479
1500000US360290042001,360290042001,730,9,0.012328767
1500000US360290042002,360290042002,557,33,0.059245961
1500000US360290042003,360290042003,350,18,0.051428571
1500000US360290042004,360290042004,784,19,0.024234694
1500000US360290042005,360290042005,1299,234,0.180138568
1500000US360290043001,360290043001,818,222,0.271393643
1500000US360290043002,360290043002,909,82,0.090209021
1500000US360290043003,360290043003,1552,59,0.038015464
1500000US360290043004,360290043004,389,133,0.341902314
1500000US360290043005,360290043005,1177,100,0.084961767
1500000US360290043006,360290043006,780,94,0.120512821
1500000US360290043007,360290043007,272,24,0.088235294
1500000US360290044011,360290044011,850,110,0.129411765
1500000US360290044012,360290044012,1063,52,0.048918156
1500000US360290044013,360290044013,1370,29,0.021167883
1500000US360290044014,360290044014,922,87,0.094360087
1500000US360290044021,360290044021,1668,19,0.011390887
1500000US360290044022,360290044022,1050,19,0.018095238
